# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
33500000	-54452.94003	-2500.526751	-51952.41328	0.329303645	2020.667964	62.80376478	1079.568895	0.019242754	7.777350317	0.294520599	0.181074378	0.192336929	0.332068094	0.129102406	5.46E-04	5.46E-04	-51952.41328	0	-2491.128501
34000000	-54664.31214	-2668.186127	-51996.12602	0.30192802	2020.69534	66.99503399	1181.769547	0.020236778	7.738241124	0.290455107	0.178646916	0.194234705	0.336663273	0.008806137	5.14E-04	5.14E-04	-51996.12602	0	-2658.954307
34500000	-54633.30311	-2647.637795	-51985.66531	0.324909946	2020.672358	66.51157078	897.5766244	0.020973107	8.694097249	0.294377837	0.181996586	0.191116954	0.332508623	0.060813672	5.49E-04	5.49E-04	-51985.66531	0	-2638.316973
35000000	-54519.76657	-2565.291831	-51954.47474	0.313948326	2020.683319	64.26038359	1190.3252	0.019370573	7.963420969	0.292952324	0.176474779	0.192759039	0.337813858	0.09023981	5.46E-04	5.46E-04	-51954.47474	0	-2555.833663
35500000	-54441.10744	-2454.2015	-51986.90594	0.317053567	2020.680214	59.39656711	706.3188212	0.020176238	8.811550798	0.293673303	0.180430119	0.191855575	0.334041003	0.106765737	5.91E-04	5.91E-04	-51986.90594	0	-2444.963613
36000000	-54501.52098	-2501.185839	-52000.33514	0.337164139	2020.660104	61.52898895	926.3227115	0.019775674	7.148651132	0.293716722	0.17798468	0.1913995	0.336899099	0.035564325	5.57E-04	5.57E-04	-52000.33514	0	-2492.226747
36500000	-54441.61465	-2462.387106	-51979.22755	0.317866486	2020.679401	60.49703135	1061.628858	0.018970295	7.78902353	0.291991548	0.178530887	0.192818275	0.33665929	0.036050574	6.05E-04	6.05E-04	-51979.22755	0	-2453.132443
37000000	-54487.46812	-2509.942487	-51977.52563	0.309839957	2020.687428	62.81430766	1442.767337	0.018355367	7.930100308	0.293556595	0.182960703	0.188173247	0.335309454	0.009167215	5.37E-04	5.37E-04	-51977.52563	0	-2500.502732
37500000	-54420.38009	-2442.133532	-51978.24656	0.299571715	2020.697696	61.05034715	1140.115432	0.018679899	8.73130023	0.295334478	0.180619902	0.194051888	0.329993732	0.022213839	5.46E-04	5.46E-04	-51978.24656	0	-2432.710481
38000000	-54568.94663	-2589.391161	-51979.55547	0.333178015	2020.66409	66.03184149	1301.667246	0.019505113	7.404360093	0.294282554	0.178868027	0.190336215	0.336513203	0.058062886	5.11E-04	5.11E-04	-51979.55547	0	-2580.065805
38500000	-54506.24872	-2521.68291	-51984.56581	0.318645849	2020.678622	60.81160843	628.4686884	0.021533277	8.487943269	0.294000713	0.178121702	0.19387838	0.333999205	0.139242728	6.01E-04	6.01E-04	-51984.56581	0	-2512.504246
39000000	-54579.70472	-2602.085759	-51977.61896	0.322597732	2020.67467	64.27325914	688.6831973	0.021820509	6.92704294	0.292832557	0.18529863	0.189647717	0.332221097	0.068148338	5.55E-04	5.55E-04	-51977.61896	0	-2593.346109
39500000	-54496.05781	-2512.564898	-51983.49291	0.332870841	2020.664397	60.53722221	611.2937565	0.021482464	8.415671042	0.296155272	0.179937961	0.191287351	0.332619416	0.063524579	5.64E-04	5.64E-04	-51983.49291	0	-2503.614873
