# BEAST v${version}${extra_release_tag}
# Generated Thu Jul 30 22:17:20 CEST 2026 [seed=1785442627552]
# -beagle_gpu -beagle_order 1 -overwrite EBOV_DRC_18-20.xml
state	HZ.coefficients1	HZ.coefficients2	HZ.coefficients3	HZ.coefIndicators1	HZ.coefIndicators2	HZ.coefIndicators3	HZ.coefficientsTimesIndicators1	HZ.coefficientsTimesIndicators2	HZ.coefficientsTimesIndicators3
8000000	1.1537375594737087	0.40411687927039486	-1.2063145869871466	0.0	1.0	1.0	0.0	0.40411687927039486	-1.2063145869871466
8050000	2.2118694824899867	0.4313080472127683	-1.1828832568292609	0.0	1.0	1.0	0.0	0.4313080472127683	-1.1828832568292609
8100000	-2.8226540628232692	4.092807526699283	-1.243899272351689	0.0	0.0	1.0	-0.0	0.0	-1.243899272351689
8150000	-5.7176130487044485	0.4133248132444236	-1.1048825193305258	0.0	1.0	1.0	-0.0	0.4133248132444236	-1.1048825193305258
8200000	-1.6043176243602986	0.4853251496930283	-1.0104180873554567	0.0	1.0	1.0	-0.0	0.4853251496930283	-1.0104180873554567
8250000	1.2111486182549138	0.30404597966006025	-1.1367813475993664	0.0	1.0	1.0	0.0	0.30404597966006025	-1.1367813475993664
8300000	4.422809131052997	0.4668070816782164	-1.2535375177037997	0.0	1.0	1.0	0.0	0.4668070816782164	-1.2535375177037997
8350000	-0.6179857832304284	0.4326811446473177	-1.198437207336083	0.0	1.0	1.0	-0.0	0.4326811446473177	-1.198437207336083
8400000	-1.7437419732365558	0.2984456610924972	-1.1102141353092547	0.0	1.0	1.0	-0.0	0.2984456610924972	-1.1102141353092547
8450000	3.461017473661099	0.2689722036184342	-1.2787535708914133	0.0	1.0	1.0	0.0	0.2689722036184342	-1.2787535708914133
8500000	1.1781312616065143	0.35810581146879455	-1.061295306250758	0.0	1.0	1.0	0.0	0.35810581146879455	-1.061295306250758
8550000	-1.108478246181937	0.3115040183673819	-1.2510203633461758	0.0	1.0	1.0	-0.0	0.3115040183673819	-1.2510203633461758
8600000	0.5323560154043308	0.46050072647947543	-1.0549014980318119	0.0	1.0	1.0	0.0	0.46050072647947543	-1.0549014980318119
8650000	3.9969833345766728	0.3704480320667232	-1.0282172851025584	0.0	1.0	1.0	0.0	0.3704480320667232	-1.0282172851025584
8700000	2.2113504800269324	0.4700577682620152	-1.0926066441224493	0.0	1.0	1.0	0.0	0.4700577682620152	-1.0926066441224493
8750000	-2.9339427932911843	0.5026529155281932	-1.0764606188733186	0.0	1.0	1.0	-0.0	0.5026529155281932	-1.0764606188733186
8800000	-0.4892059113549375	0.11528639479658584	-0.9995243887254266	0.0	0.0	1.0	-0.0	0.0	-0.9995243887254266
8850000	-1.8187111780296321	0.4917565737176799	-1.0635551591460104	0.0	1.0	1.0	-0.0	0.4917565737176799	-1.0635551591460104
8900000	1.2225634004673576	0.20058670410227694	-1.213962391665459	0.0	1.0	1.0	0.0	0.20058670410227694	-1.213962391665459
8950000	2.0187332530465296	0.5383864911059486	-1.1937430792626162	0.0	1.0	1.0	0.0	0.5383864911059486	-1.1937430792626162
9000000	1.984998694074782	0.4723727372205274	-1.0187930025736878	0.0	1.0	1.0	0.0	0.4723727372205274	-1.0187930025736878
9050000	0.6253227313800807	0.3454774967651898	-1.1735243812078013	0.0	1.0	1.0	0.0	0.3454774967651898	-1.1735243812078013
9100000	0.3828697599764974	0.4718886316142623	-1.0267017732426111	0.0	1.0	1.0	0.0	0.4718886316142623	-1.0267017732426111
9150000	0.06290623189853828	-0.39081991486992074	-1.104856886402801	1.0	0.0	1.0	0.06290623189853828	-0.0	-1.104856886402801
9200000	-0.31572974660748754	0.3088793027563158	-1.1119473363411667	0.0	1.0	1.0	-0.0	0.3088793027563158	-1.1119473363411667
9250000	-1.4768439103154263	2.5876175736290232	-1.1746530150283565	0.0	0.0	1.0	-0.0	0.0	-1.1746530150283565
9300000	5.121972087144719	-2.062496588022798	-1.1595257599530377	0.0	0.0	1.0	0.0	-0.0	-1.1595257599530377
9350000	-0.15472950909866756	0.29342068914631003	-1.0499207292983248	0.0	1.0	1.0	-0.0	0.29342068914631003	-1.0499207292983248
9400000	0.606892004797188	0.3893539851375656	-1.0075719597334003	0.0	1.0	1.0	0.0	0.3893539851375656	-1.0075719597334003
9450000	-1.117524962194404	-0.9290802524548999	-1.276740499476936	0.0	0.0	1.0	-0.0	-0.0	-1.276740499476936
9500000	0.9717227852111678	0.5725619391549089	-1.0483121452763497	0.0	1.0	1.0	0.0	0.5725619391549089	-1.0483121452763497
9550000	1.9233967020608462	0.3402669255642285	-1.038850220088004	0.0	1.0	1.0	0.0	0.3402669255642285	-1.038850220088004
9600000	0.3471281497928987	0.5423462943678129	-1.1144947108371324	0.0	1.0	1.0	0.0	0.5423462943678129	-1.1144947108371324
