taxa	country	location	latitude	longitude	collection_date
EBOV|EM_FORE_2015_934||GIN|Forecariah|2015-06-23	GIN	Forecariah	9.367415288	-13.06779855	23/06/2015
EBOV|EM_FORE_2015-1971||GIN|Forecariah|2015-08-14	GIN	Forecariah	9.461017577	-13.08575724	14/08/2015
EBOV|EM_GUI_2015_004674||GIN|Siguiri|2015-03-26	GIN	Siguiri	11.39940342	-9.11939671	26/03/2015
EBOV|EM-FORE_2015_1160||GIN|Forecariah|2015-07-13	GIN	Forecariah	9.428755147	-13.10180736	13/07/2015
EBOV|EM-FORE-2015-1414||GIN|Forecariah|2015-07-13	GIN	Forecariah	9.463283823	-13.09640239	13/07/2015
EBOV|EM-FORE-2015-548||GIN|Forecariah|2015-05-27	GIN	Forecariah	9.484219757	-13.05772195	27/05/2015
EBOV|EM-FORE-2015-631||GIN|Forecariah|2015-06-02	GIN	Forecariah	9.435855557	-13.01474706	02/06/2015
EBOV|EM-FORE-2015-664||GIN|Forecariah|2015-06-04	GIN	Forecariah	9.437613923	-13.11534312	04/06/2015
EBOV|EM-FORE-2015-669||GIN|Forecariah|2015-06-05	GIN	Forecariah	9.388247627	-13.09805024	05/06/2015
EBOV|EM-FORE-2015-838||GIN|Forecariah|2015-06-16	GIN	Forecariah	9.391825253	-13.07391054	16/06/2015
EBOV|EM_FORE_2015-2531||GIN|Forecariah|2015-09-26	GIN	Forecariah	9.461348494	-13.065535	26/09/2015
EBOV|EM_FORE_2015-2533||GIN|Forecariah|2015-09-26	GIN	Forecariah	9.462578565	-13.02503335	26/09/2015
EBOV|EM_FORE_2015-2547||GIN|Forecariah|2015-09-26	GIN	Forecariah	9.369664901	-13.1476897	26/09/2015
