# BEAST v1.8.3
# Generated Wed Jul 26 13:02:49 BST 2017 [seed=1501070568031]
# -beagle IVA_PB1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(human)	tmrca(swine)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	human.rate	swine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
21000	-30896.534188512847	-604.4437120547902	-30292.090476458055	109.64597907783362	96.28458672171135	82.2681948609838	55.15657776852118	13.673744781232902	0.31538492943809976	0.20853430008275295	0.21515739399404502	0.26092337648510233	0.0031279382722749012	0.001453236654259886	0.0021924320820697284	0.0027405104777214273	0.27194156105298606	0.9806387932557892	-30292.090476458055	0.0	-597.5440826793791
22000	-30644.254564787843	-612.3530112569038	-30031.90155353094	113.11113317848276	95.28740891953316	82.2681948609838	52.8277070249084	14.52178525215028	0.31538492943809976	0.20667925091673295	0.21448599279307928	0.26344982685208806	0.002838906833888327	0.0011902424232916623	0.002088005116963395	0.0024845735843266863	0.28991572104812274	0.9812317690479192	-30031.90155353094	0.0	-605.8120200708746
23000	-30532.20654591945	-614.6988558749773	-29917.507690044473	111.85983252955012	96.52796640496447	82.2681948609838	56.66552936802251	14.395589796314692	0.3107480406009087	0.20796713014244614	0.2170929273516467	0.26419190190499847	0.0028081843294148826	0.0011781788978374203	0.002095096516647665	0.0024645399398610366	0.2882145224662509	0.9813434291076013	-29917.507690044473	0.0	-608.1350624619057
24000	-30471.76956222898	-618.1668848457101	-29853.60267738327	112.98062228290267	94.54897961988578	82.69751042050862	51.31695285472584	13.888694170214645	0.3093885284255396	0.20602235493058732	0.21890721955770714	0.2656818970861659	0.0028081843294148826	0.0013063074400668931	0.002017898322553777	0.00248388681831148	0.2684173537567849	0.9808156512203386	-29853.60267738327	0.0	-611.674849344911
25000	-30395.718144470964	-622.6374635878157	-29773.080680883148	116.23259333055594	94.2187815323079	83.30717672211797	54.128654122824756	14.7445114496595	0.30943714329003386	0.20438485854071606	0.2166480800278612	0.2695299181413889	0.002667403885771048	0.0012694657340375686	0.0019181210478069234	0.0023672503349183786	0.2628233322808514	0.9807612451312426	-29773.080680883148	0.0	-616.1568024567979
26000	-30306.884569679005	-628.0389616805417	-29678.845607998464	115.06327856814893	95.64954952260622	83.30717672211797	57.887064557359345	13.038868128168017	0.3193377600514521	0.2038080821190712	0.20732423968808783	0.2695299181413889	0.0024520617638978384	0.0013100420462414074	0.0019533521352488514	0.0022253707075163124	0.2217043318160809	0.9813483500890884	-29678.845607998464	0.0	-621.9046407108272
27000	-30186.898519747392	-637.9061099007407	-29548.99240984665	112.7420297624153	96.30190380351347	83.30717672211797	72.43143456699403	14.273427241887061	0.3322308395079134	0.20546229531139554	0.20895448525527077	0.2533523799254203	0.0024304547791845	0.00121265968783503	0.0018147367454171067	0.0021871504142116265	0.2464991075990305	0.9809327422556213	-29548.99240984665	0.0	-631.4924330508132
28000	-30186.262638481254	-639.0624371845842	-29547.20020129667	113.40138660474017	95.03892201509048	82.77233921564608	66.07131598647452	15.065977425380213	0.33054085082164925	0.20029671971882282	0.20782362475658103	0.2613388047029469	0.002407393403731702	0.0012549251980520791	0.0018389017877628226	0.0021869979440556245	0.23262753480237705	0.981004427513257	-29547.20020129667	0.0	-632.5829535307753
29000	-30167.154125797526	-644.0988637212258	-29523.0552620763	118.52570419997734	95.385553076473	82.12092438039782	56.991223007095975	13.270389123859339	0.316559045220011	0.2030224209332528	0.2132809043137031	0.26713762953303305	0.0023072963058982923	0.0012193728170296503	0.0018869111059575208	0.0021129694503542683	0.22231190444425436	0.9816711686384085	-29523.0552620763	0.0	-638.110220209891
30000	-30075.82048276719	-646.9486462940574	-29428.871836473132	114.8564224458632	94.58139117537753	83.27972914216647	62.16087542926381	14.158779382857889	0.31652674564855376	0.20682319029529675	0.21578593262865253	0.2608641314274969	0.0022890329638422108	0.0012344121428509544	0.002108599096210911	0.00212690959999845	0.2116655219893858	0.9831322029917509	-29428.871836473132	0.0	-640.619336916766
31000	-29965.49058588075	-653.287717404383	-29312.202868476368	115.88126408365152	94.58139117537753	83.27972914216647	64.75168066012014	13.59772824535876	0.3278715146803894	0.21179962472754624	0.20007505657852864	0.26025380401353576	0.00208459006985279	0.0013231568225166373	0.0018197954445292469	0.0019596814875959246	0.16506276170770556	0.9819277693964474	-29312.202868476368	0.0	-647.2528894106816
32000	-29934.089464970966	-654.6308930279771	-29279.45857194299	118.86717123037037	93.86671582325509	81.92750923027445	72.93472622284423	12.61520928530276	0.3267432663483512	0.2061430365806852	0.20092259104830965	0.26619110602265394	0.0019775957000382318	0.0012698853531879842	0.0019928295962097498	0.0018873507202472144	0.16302912578477421	0.9843268848663664	-29279.45857194299	0.0	-648.7187113190603
33000	-29916.74526469321	-661.2683401566569	-29255.476924536553	118.31959924154918	93.86671582325509	81.92750923027445	65.0500194450472	14.568860070443193	0.3214922495004291	0.21056449944379846	0.20139298342691533	0.266550267628857	0.002073708567023113	0.0012422517528959595	0.0020829400772825325	0.001971492866518463	0.18421688414816206	0.9842689162698244	-29255.476924536553	0.0	-655.010172544718
