lab-id,country,admin1
KT4828,SLE,?
KT5245,SLE,?
MK2367,SLE,Bombali
12634_EMLH,SLE,WesternUrban
PL7483,SLE,?
KT5382,SLE,WesternRural
MK2437,SLE,Bombali
10415_EMLK,SLE,WesternUrban
PL4292,SLE,Kambia
MK2369,SLE,Bombali
MK2364,SLE,Bombali
731_EMLH,SLE,WesternUrban
PL4059,SLE,PortLoko
MK2008,SLE,WesternUrban
MK2365,SLE,Bombali
MK2344,SLE,Bombali
MK2789,SLE,Bombali
MK2850,SLE,Bombali
732_EMLH,SLE,?
10455_EMLK,SLE,WesternUrban
KT5859,SLE,?
MK2790,SLE,Bombali
MK2405,SLE,Bombali
KT5786,SLE,?
12181_EMLH,SLE,WesternUrban
MK2447,SLE,Bombali
KT5486,SLE,?
PL5019,SLE,PortLoko
PL4570,SLE,PortLoko
PL5202,SLE,PortLoko
MK3462,SLE,Bombali
MK3479,SLE,Bombali
MK2983,SLE,Bombali
MK2383,SLE,Bombali
MK2343,SLE,Bombali
MK2366,SLE,Bombali
MK2788,SLE,Bombali
MK2506,SLE,Bombali
12579_EMLH,SLE,WesternRural
12628_EMLH,SLE,WesternRural
MK2283,SLE,Bombali
KT5224,SLE,?
MK2448,SLE,Bombali
MK3043,SLE,Bombali
DML12260,SLE,WesternUrban
MK2382,SLE,Bombali
MK2724,SLE,Bombali
MK2710,SLE,Bombali
MK2398,SLE,Bombali
12178_EMLH,SLE,WesternUrban
12600_EMLH,SLE,WesternUrban
MK2341,SLE,Bombali
12242_EMLH,SLE,WesternUrban
MK2255,SLE,Bombali
MK2825,SLE,Bombali
12179_EMLH,SLE,WesternUrban
MK2436,SLE,Bombali
MK2370,SLE,Bombali
MK2334,SLE,Bombali
77573_EMLK,SLE,WesternUrban
77670_EMLK,SLE,?
77644_EMLK,SLE,WesternUrban
77643_EMLK,SLE,WesternUrban
12757_EMLH,SLE,WesternUrban
413_EMLH,SLE,?
634_EMLH,SLE,WesternUrban
632_EMLH,SLE,WesternUrban
77558_EMLK,SLE,?
20145853,SLE,Pujehun
J0077,SLE,WesternRural
J0052,SLE,WesternUrban
1128,GIN,Conakry
1149,GIN,Conakry
J0132,SLE,WesternUrban
J0124,SLE,WesternArea
J0167,SLE,WesternUrban
J0060,SLE,WesternUrban
J0059,SLE,WesternRural
J0065,SLE,WesternRural
J0087,SLE,PortLoko
75685_EMLH,SLE,?
77676_EMLK,SLE,?
77679_EMLK,SLE,?
77563_EMLK,SLE,?
77630_EMLK,SLE,WesternUrban
405_EMLH,SLE,?
77649_EMLK,SLE,WesternUrban
77711_EMLK,SLE,WesternUrban
14888_EMLK,SLE,Kambia
14830_EMLK,SLE,Kambia
14782_EMLK,SLE,Kambia
PL5868,SLE,Kambia
12161_EMLH,SLE,?
77677_EMLK,SLE,?
77648_EMLK,SLE,WesternUrban
77667_EMLK,SLE,?
77675_EMLK,SLE,?
77716_EMLK,SLE,WesternUrban
77673_EMLK,SLE,?
77710_EMLK,SLE,WesternUrban
J0078,SLE,WesternUrban
77580_EMLK,SLE,WesternUrban
J0086,SLE,WesternRural
20143753,SLE,Tonkolili
20143716,SLE,Moyamba
20144610,SLE,Tonkolili
J0047,SLE,WesternUrban
20143031,SLE,WesternUrban
J0044,SLE,WesternRural
740,GIN,Conakry
20140489,SLE,Kenema
786,GIN,Conakry
1250,GIN,Conakry
1651,GIN,Conakry
PL4094,SLE,Kambia
EM_COY_2015_015972,GIN,Forecariah
EM-FORE_2015_1160,GIN,Forecariah
EM_COY_2015_016278,GIN,Forecariah
EM-FORE-2015-664,GIN,Forecariah
EM_FORE_2015_781,GIN,Forecariah
EM_COY_2015_022059,GIN,Forecariah
EM_FORE_2015_1079,GIN,Forecariah
EM_FORE_2015_1118,GIN,Forecariah
EM_FORE_2015_1313,GIN,Forecariah
EM-FORE-2015-838,GIN,Forecariah
EM_FORE_2015_1076,GIN,Forecariah
CON-10786,GIN,Conakry
EM-FORE-2015-1414,GIN,Forecariah
EM_FORE_2015_1140,GIN,Forecariah
EM_FORE_2015_1437,GIN,Forecariah
EM_FORE_2015_1023,GIN,Forecariah
REDC-GUI-2015-00497,GIN,Conakry
EM_FORE_2015_1047,GIN,Forecariah
CON-8811,GIN,Dubreka
EM_FORE_2015_934,GIN,Forecariah
EM_COY_2015_017174,GIN,Forecariah
EM_FORE_2015_896,GIN,Forecariah
EM_FORE_2015_1024,GIN,Forecariah
EM_FORE_2015_696,GIN,Forecariah
EM-FORE-2015-631,GIN,Forecariah
EM_FORE_2015_697,GIN,Forecariah
EM-FORE-2015-669,GIN,Forecariah
EM-FORE-2015-548,GIN,Forecariah
EM_FORE_2015_695,GIN,Forecariah
EM_FORE_2015-1971,GIN,Forecariah
EM_COY_2015_015980,GIN,Forecariah
CON-8559,GIN,Conakry
EM_COY_2015_013795,GIN,Forecariah
EM_COY_2015_014370,GIN,Forecariah
EM_COY_2015_016238,GIN,Forecariah
14795_EMLK,SLE,Kambia
EM_COY_2015_014060,GIN,Dubreka
EM_COY_2015_015986,GIN,Fria
EM_COY_2015_015815,GIN,Fria
EM_COY_2015_016267,GIN,Dubreka
EM_COY_2015_016617,GIN,Dubreka
EM_COY_2015_016531,GIN,Dubreka
EM_COY_2015_016456,GIN,Dubreka
IPDPFHGINSP_GUI_2015_5038,GIN,Conakry
EM_COY_2015_016800,GIN,Dubreka
EM_COY_2015_016515,GIN,Dubreka
EM_COY_2015_017787,GIN,Dubreka
EM_COY_2015_017788,GIN,Dubreka
EM_COY_2015_017057,GIN,Dubreka
EM_COY_2015_017238,GIN,Dubreka
EM_COY_2015_017135,GIN,Dubreka
EM_COY_2015_017865,GIN,Dubreka
REDC_GUI_2015_00483,GIN,Conakry
REDC-GUI-2015-00502,GIN,Conakry
REDC_GUI_2015_00545,GIN,Conakry
REDC_GUI_2015_00576,GIN,Conakry
REDC_GUI_2015_01285,GIN,Conakry
EM_COY_2015_023747,GIN,Dubreka
REDC-GUI-2015-00402,GIN,Conakry
CON-10193,GIN,Conakry
CON-10512,GIN,Conakry
CON-10590,GIN,Conakry
CON-11010,GIN,Conakry
REDC_GUI_2015_01165,GIN,Conakry
REDC_GUI_2015_01323,GIN,Conakry
REDC_GUI_2015_01408,GIN,Conakry
EM_FORE_2015-2417,GIN,Forecariah
EM_FORE_2015-2531,GIN,Forecariah
REDC_GUI_2015_02242,GIN,Forecariah
EM_FORE_2015_2878,GIN,Forecariah
EM_FORE_2015_2781,GIN,Forecariah
EM_FORE_2015-2533,GIN,Forecariah
EM_FORE_2015-2547,GIN,Forecariah
REDC_GUI_2015_00589,GIN,Conakry
EM_COY_2015_017664,GIN,Dubreka
EM_COY_2015_017666,GIN,Dubreka
EM_COY_2015_017240,GIN,Dubreka
EM_COY_2015_016414,GIN,Dubreka
PL5260,SLE,Kambia
EM_COY_2015_013962,GIN,Forecariah
PL6070,SLE,Kambia
EM_GUI_2015_004674,GIN,Siguiri
EM_COY_2015_013671,GIN,Coyah
14748_EML,SLE,Kambia
PL4872,SLE,Kambia
PL5428,SLE,Kambia
PL5361,SLE,Kambia
14729_EML,SLE,Kambia
14750_EML,SLE,Kambia
14859_EMLK,SLE,Kambia
14723_EML,SLE,Kambia
PL5803,SLE,Kambia
PL6158,SLE,Kambia
PL5801,SLE,Kambia
PL4347,SLE,Kambia
1027,GIN,Conakry
1105,GIN,Conakry
1043,GIN,Conakry
1283,GIN,Coyah
1100,GIN,Conakry
976,GIN,Conakry
1215,GIN,Conakry
657,GIN,Conakry
1081,GIN,Conakry
701,GIN,Conakry
678,GIN,Conakry
G5039.1,SLE,Kenema
G4981.1,SLE,?
Makona-201403147,SLE,?
G4982.1,SLE,?
G4698.1,SLE,Kenema
G4424.1,SLE,Kailahun
G4454.1,SLE,Kailahun
G4263.1,SLE,Kenema
787,GIN,Conakry
20141232,SLE,Tonkolili
J0015,SLE,Bombali
20142260,SLE,Bombali
MK1197,SLE,Bombali
J0096,SLE,WesternUrban
J0022,SLE,Bombali
J0017,SLE,Bombali
J0019,SLE,Bombali
J0020,SLE,Bombali
G5295.1,SLE,?
20140134,SLE,Bombali
MK0531,SLE,Bombali
MK0869,SLE,Bombali
MK0024,SLE,Bombali
MK0045,SLE,Bombali
MK0367,SLE,Bombali
MK0388,SLE,Bombali
MK0392,SLE,Bombali
MK0369,SLE,Bombali
MK0584,SLE,Bombali
MK0857,SLE,?
MK0723,SLE,?
MK0533,SLE,?
MK0364,SLE,Bombali
MK0433,SLE,Bombali
MK0365,SLE,Bombali
MK0434,SLE,Bombali
MK0390,SLE,Bombali
MK0607,SLE,?
MK0431,SLE,Bombali
MK1320,SLE,Bombali
MK1888,SLE,?
MK1782,SLE,?
MK0849,SLE,?
MK0491,SLE,Bombali
MK0366,SLE,Bombali
MK0393,SLE,?
MK0379,SLE,Bombali
MK0549,SLE,Bombali
MK1036,SLE,Bombali
MK1202,SLE,Bombali
MK0966,SLE,Bombali
MK0868,SLE,?
MK0363,SLE,?
MK0551,SLE,?
20143107,SLE,Bombali
MK0664,SLE,?
MK0575,SLE,?
20144837,SLE,Bombali
20146553,SLE,Koinadugu
MK0368,SLE,Bombali
20144192,SLE,Bombali
20142843,SLE,Bombali
G5296.1,SLE,?
J0160,SLE,WesternRural
J0152,SLE,WesternRural
20142856,SLE,Tonkolili
20142127,SLE,Bombali
MK0375,SLE,Bombali
KT4054,SLE,?
20145835,SLE,Tonkolili
MK0766,SLE,?
MK0425,SLE,Bombali
MK0085,SLE,Bombali
MK1000,SLE,Bombali
KT4715,SLE,?
1365,GIN,Forecariah
MK0709,SLE,Tonkolili
J0123,SLE,WesternRural
20141960,SLE,Tonkolili
G4431.1,SLE,Bo
G5853.1,SLE,Moyamba
J0118,SLE,WesternRural
20141282,SLE,Kambia
J0105,SLE,PortLoko
J0104,SLE,PortLoko
J0102,SLE,PortLoko
J0103,SLE,PortLoko
J0038,SLE,PortLoko
G5516.1,SLE,Moyamba
G4994.1,SLE,?
J0088,SLE,PortLoko
J0141,SLE,WesternRural
J0074,SLE,WesternRural
J0168,SLE,WesternArea
J0032,SLE,PortLoko
J0003,SLE,PortLoko
20140091,SLE,WesternRural
J0079,SLE,WesternRural
J0165,SLE,WesternUrban
G5738.1,SLE,Moyamba
G5691.1,SLE,Kenema
G5617.1,SLE,Kenema
G5520.1,SLE,Kenema
20140436,SLE,Moyamba
G4999.1,SLE,Kenema
G4725.1,SLE,Moyamba
1039,GIN,Conakry
1069,GIN,Forecariah
1571,GIN,Forecariah
1567,GIN,Forecariah
20141491,SLE,Kambia
J0048,SLE,WesternRural
G5064.1,SLE,Moyamba
955,GIN,Coyah
989,GIN,Forecariah
G4955.1,SLE,?
20144865,SLE,PortLoko
J0101,SLE,PortLoko
J0085,SLE,PortLoko
G5985.1,SLE,?
G4748.1,SLE,?
G4683.1,SLE,?
G5982.1,SLE,?
KT2316,SLE,PortLoko
KT2315,SLE,PortLoko
J0115,SLE,PortLoko
J0114,SLE,PortLoko
J0018,SLE,WesternRural
J0061,SLE,PortLoko
G5986.1,SLE,?
J0142,SLE,WesternUrban
J0073,SLE,PortLoko
G5988.1,SLE,?
G4956.1,SLE,Tonkolili
G4972.1,SLE,Kenema
77724_EMLK,SLE,?
77581_EMLK,SLE,WesternUrban
77594_EMLK,SLE,WesternUrban
77706_EMLK,SLE,WesternUrban
77582_EMLK,SLE,WesternUrban
J0164,SLE,WesternRural
20140433,SLE,Tonkolili
20141288,SLE,PortLoko
75750_EMLH,SLE,WesternUrban
375_EMLH,SLE,?
J0030,SLE,PortLoko
J0011,SLE,PortLoko
J0140,SLE,WesternRural
J0049,SLE,PortLoko
20143036,SLE,PortLoko
J0163,SLE,PortLoko
Makona-GE1,SLE,WesternArea
PL4784,SLE,PortLoko
PL4322,SLE,PortLoko
PL4126,SLE,PortLoko
PL4121,SLE,PortLoko
PL4561,SLE,PortLoko
PL4169,SLE,PortLoko
PL5201,SLE,PortLoko
PL4127,SLE,PortLoko
PL4125,SLE,PortLoko
PL4028,SLE,PortLoko
PL4123,SLE,PortLoko
PL4256,SLE,PortLoko
PL4330,SLE,PortLoko
