taxon	HZ
MAN9868|Mandima|2019-10-19	Mandima
BEN39066|Beni|2019-10-28	Beni
BIA115|Mandima|2019-10-22	Mandima
BIA134|Mandima|2019-10-23	Mandima
MAN10004|Mandima|2019-10-23	Mandima
MAN10080|Mandima|2019-10-24	Mandima
MAN10087|Mabalako|2019-10-24	Mabalako
MAN10091|Mabalako|2019-10-24	Mabalako
MAN10095|Mandima|2019-10-24	Mandima
MAN9938|Mandima|2019-10-21	Mandima
MAN9940|Mandima|2019-10-21	Mandima
BEN39780|Beni|2019-11-04	Beni
BEN39817|Beni|2019-11-04	Beni
BEN39826|Beni|2019-11-04	Beni
BEN39859|Beni|2019-11-05	Beni
MAN7996|Mandima|2019-09-04	Mandima
MAN8241|Mandima|2019-09-10	Mandima
MAN8291|Mabalako|2019-09-12	Mabalako
MAN9412|Mandima|2019-10-08	Mandima
BEN40801|Beni|2019-11-12	Beni
BEN41281|Beni|2019-11-17	Beni
KOM3413|Komanda|2019-09-24	Komanda
MAM1100|Mambasa|2019-10-20	Mambasa
MAN11283|Unknown|2019-11-13	?
MAN8725|Mandima|2019-09-22	Mandima
BEN39846|Beni|2019-11-05	Beni
KOM3614|Lolwa|2019-10-03	Lolwa
MAM1011|Mambasa|2019-10-17	Mambasa
MAM1354|Mambasa|2019-10-29	Mambasa
MAN10203|Mabalako|2019-10-26	Mabalako
MAN10272|Mabalako|2019-10-27	Mabalako
MAN11046|Mabalako|2019-11-09	Mabalako
MAN11190|Mabalako|2019-11-11	Mabalako
BEN42399|Mandima|2019-12-04	Mandima
BEN13197|Beni|2019-04-10	Beni
BEN16085|Beni|2019-05-11	Beni
BEN19315|Mabalako|2019-06-11	Mabalako
BEN19316|Mutwanga|2019-06-11	Mutwanga
BEN19317|Mabalako|2019-06-11	Mabalako
BEN19318|Mutwanga|2019-06-11	Mutwanga
BEN19321|Mabalako|2019-06-11	Mabalako
BEN22870|Beni|2019-07-10	Beni
BEN22873|Beni|2019-07-10	Beni
BEN22931|Beni|2019-07-10	Beni
BEN22932|Beni|2019-07-10	Beni
BEN41359|Beni|2019-11-17	Beni
BEN42331|Beni|2019-12-03	Beni
BEN42332|Beni|2019-12-03	Beni
BEN42394|Oicha|2019-12-04	Oicha
MAN4194|Mabalako|2019-06-16	Mabalako
MAN12309|Mabalako|2019-12-03	Mabalako
MAN11230|Unknown|2019-11-12	?
MAN12434|Mabalako|2019-12-07	Mabalako
MAN12448|Mabalako|2019-12-07	Mabalako
MAN12460|Mabalako|2019-12-08	Mabalako
MAN12468|Mabalako|2019-12-08	Mabalako
MAN12470|Mabalako|2019-12-08	Mabalako
MAN12472|Mabalako|2019-12-08	Mabalako
MAN12490|Mabalako|2019-12-09	Mabalako
MAN12506|Mabalako|2019-12-10	Mabalako
MAN12508|Mabalako|2019-12-10	Mabalako
MAN12509|Mabalako|2019-12-10	Mabalako
MAN12510|Mabalako|2019-12-10	Mabalako
MAN12514|Mabalako|2019-12-10	Mabalako
MAN12535|Mabalako|2019-12-10	Mabalako
MAN12541|Mabalako|2019-12-10	Mabalako
MAN12542|Mabalako|2019-12-10	Mabalako
MAN12545|Mabalako|2019-12-10	Mabalako
MAN12546|Mabalako|2019-12-10	Mabalako
MAN12581|Mabalako|2019-12-11	Mabalako
MAN12589|Biena|2019-12-11	Biena
MAN11531|Mabalako|2019-11-17	Mabalako
MAN11617|Mabalako|2019-11-19	Mabalako
MAN3176|Mabalako|2019-05-22	Mabalako
MAN8225|Beni|2019-09-10	Beni
MAN8238|Mandima|2019-09-10	Mandima
MAN8254|Mabalako|2019-09-11	Mabalako
MAN8303|Mandima|2019-09-12	Mandima
MAN8305|Mandima|2019-09-12	Mandima
MAN8392|Mandima|2019-09-14	Mandima
MAN9000|Mandima|2019-09-29	Mandima
MAN9168|Mandima|2019-10-02	Mandima
MAN9216|Mandima|2019-10-03	Mandima
MAN9644|Mandima|2019-10-14	Mandima
MAN9670|Mandima|2019-10-15	Mandima
MAN9698|Mandima|2019-10-15	Mandima
MAN9737|Mabalako|2019-10-16	Mabalako
MAN9840|Mabalako|2019-10-18	Mabalako
BIA022|Mandima|2019-10-14	Mandima
BIA023|Mandima|2019-10-15	Mandima
BIA071|Mandima|2019-10-19	Mandima
KOM0996|Komanda|2019-08-13	Komanda
KOM2720|Mambasa|2019-08-18	Mambasa
KOM2735|Mambasa|2019-08-18	Mambasa
KOM2844|Komanda|2019-08-25	Komanda
KOM2992|Mambasa|2019-09-01	Mambasa
KOM3117|Mambasa|2019-08-29	Mambasa
KOM3174|Komanda|2019-09-10	Komanda
KOM3184|Mambasa|2019-09-12	Mambasa
KOM3199|Komanda|2019-09-13	Komanda
KOM3226|Mambasa|2019-09-16	Mambasa
KOM3261|Mambasa|2019-09-17	Mambasa
MAN8939|Mandima|2019-09-27	Mandima
MAN8953|Mandima|2019-09-27	Mandima
MAN9389|Mandima|2019-10-07	Mandima
BTB39991|Butembo|2019-12-17	Butembo
BTB40988|Kalunguta|2019-12-24	Kalunguta
KAT21874|Butembo|2020-01-01	Butembo
BTB41146|Butembo|2019-12-25	Butembo
MAM3969|Mambasa|2020-01-03	Mambasa
MAN12369|Mabalako|2019-12-05	Mabalako
MAN13273|Mabalako|2019-12-23	Mabalako
BTB40989|Kalunguta|2019-12-24	Kalunguta
BTB41015|Kalunguta|2019-12-25	Kalunguta
BTB41413|Kalunguta|2019-12-28	Kalunguta
BTB42007|Musienene|2020-01-01	Musienene
BTB42105|Butembo|2020-01-02	Butembo
BTB42106|Butembo|2020-01-02	Butembo
BTB42175|Butembo|2020-01-02	Butembo
BTB42291|Butembo|2020-01-03	Butembo
KAT21808|Butembo|2019-12-31	Butembo
KOM3730|Nyankunde|2019-10-12	Nyankunde
MAM123|Mambasa|2019-09-13	Mambasa
MAN8346|Mandima|2019-09-13	Mandima
MAN12952|Mabalako|2019-12-17	Mabalako
MAN12990|Mabalako|2019-12-18	Mabalako
MAN13130|Mabalako|2019-12-20	Mabalako
MAN13222|Mabalako|2019-12-22	Mabalako
MAN13347|Mabalako|2019-12-24	Mabalako
MAN13384|Mabalako|2019-12-25	Mabalako
MAN14198|Mabalako|2020-01-12	Mabalako
BIA610|Mandima|2019-11-27	Mandima
BIA618|Mandima|2019-11-27	Mandima
BIA622|Mandima|2019-11-27	Mandima
MAN12727|Mabalako|2019-12-13	Mabalako
MAN12770|Mabalako|2019-12-14	Mabalako
MAN12790|Mabalako|2019-12-14	Mabalako
MAN13221|Mabalako|2019-12-22	Mabalako
MAN13238|Mabalako|2019-12-22	Mabalako
MAN13348|Mabalako|2019-12-25	Mabalako
BEN47206|Beni|2020-01-19	Beni
KAT22674|Mabalako|2020-01-11	Mabalako
BEN45861|Beni|2020-01-07	Beni
BEN46116|Beni|2020-01-09	Beni
BEN48100|Beni|2020-01-26	Beni
BEN46697|Beni|2020-01-15	Beni
BEN48039|Beni|2020-01-25	Beni
BEN48231|Beni|2020-01-27	Beni
BEN48404|Beni|2020-01-28	Beni
BEN48608|Beni|2020-01-29	Beni
MAN14228|Mabalako|2020-01-13	Mabalako
MAN14985|Mabalako|2020-01-29	Mabalako
BEN49411|Beni|2020-02-05	Beni
BEN49660|Beni|2020-02-07	Beni
MAM4063|Mambasa|2020-01-06	Mambasa
BEN49243|Beni|2020-02-04	Beni
BTB16435|Kalunguta|2019-06-19	Kalunguta
BTB5412|Butembo|2019-02-11	Butembo
KAT12567|Kalunguta|2019-09-20	Kalunguta
KAT12568|Katwa|2019-09-20	Katwa
KAT12573|Kalunguta|2019-09-20	Kalunguta
KAT13552|Katwa|2019-10-02	Katwa
KOM3348|Mambasa|2019-09-21	Mambasa
KOM3350|Unknown|2019-09-21	?
KOM3396|Mambasa|2019-09-21	Mambasa
KOM3427|Mambasa|2019-09-25	Mambasa
KOM3449|Mambasa|2019-09-26	Mambasa
