# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
54950000	-0.6151519418380601	0.4877210932016644	-0.4850338887696899	1.1449011432126817	2.9266037157374085	1.5810277550181095	1.0	1.0	0.0	0.0	0.0	0.0	-0.6151519418380601	0.4877210932016644	-0.0	0.0	0.0	0.0
55000000	-0.630745561328868	0.5834965016622947	2.0923958319241143	0.47216221752674975	0.46988803997152045	-5.687718230796704	1.0	1.0	0.0	0.0	0.0	0.0	-0.630745561328868	0.5834965016622947	0.0	0.0	0.0	-0.0
55050000	-0.667803241926599	0.8459012675731757	0.11271923971428627	-0.7683141525010644	0.3084190179371389	0.9915647727323799	1.0	1.0	0.0	0.0	0.0	0.0	-0.667803241926599	0.8459012675731757	0.0	-0.0	0.0	0.0
55100000	-0.6661080976314789	0.6695762113135019	0.6922009048790926	-0.9520100284648093	-0.9795243094644567	0.43939849491645483	1.0	1.0	0.0	0.0	0.0	0.0	-0.6661080976314789	0.6695762113135019	0.0	-0.0	-0.0	0.0
55150000	-0.6947147519176473	0.7288581925719407	-1.3211481506267837	1.8003974293578013	-1.1399204509523253	-1.4123718716073372	1.0	1.0	0.0	0.0	0.0	0.0	-0.6947147519176473	0.7288581925719407	-0.0	0.0	-0.0	-0.0
55200000	-0.7093112832193051	0.7772523448891786	-1.7448932602566336	-0.06113716248528421	2.562239548908152	4.597809373754348	1.0	1.0	0.0	0.0	0.0	0.0	-0.7093112832193051	0.7772523448891786	-0.0	-0.0	0.0	0.0
55250000	-0.4718868161955523	-1.8919161040349235	-2.4410901670201235	-0.0656641042666446	0.16270493805399264	-3.0826647317850773	1.0	0.0	0.0	0.0	0.0	0.0	-0.4718868161955523	-0.0	-0.0	-0.0	0.0	-0.0
55300000	-0.6327533075979378	0.4830583587012615	-1.4654175718240614	0.044896292511365676	0.8466672275140326	0.7134114286570018	1.0	0.0	0.0	0.0	0.0	0.0	-0.6327533075979378	0.0	-0.0	0.0	0.0	0.0
55350000	-0.699646549814059	3.543832365041416	1.9167435811856746	-1.3568083734720418	1.4871834917802376	-0.5960504991218308	1.0	0.0	0.0	0.0	0.0	0.0	-0.699646549814059	0.0	0.0	-0.0	0.0	-0.0
55400000	-0.69564334998878	1.0304839397678605	-1.2119165534714473	3.5130583765845387	-1.7090305338823366	-1.4344189627887856	1.0	1.0	0.0	0.0	0.0	0.0	-0.69564334998878	1.0304839397678605	-0.0	0.0	-0.0	-0.0
55450000	-0.688734497460796	0.7953741599434158	0.3311587678596704	-3.9469870783489025	0.9373688422037569	3.2933242223000354	1.0	1.0	0.0	0.0	0.0	0.0	-0.688734497460796	0.7953741599434158	0.0	-0.0	0.0	0.0
