# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:49 CEST 2017 [seed=1502886884603]
# -beagle_SSE batRABV_8Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefficients7	host.coefficients8	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefIndicators7	host.coefIndicators8	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6	host.coefficientsTimesIndicators7	host.coefficientsTimesIndicators8
3250000	-0.707134857109059	0.2807441055386013	-0.11037676758185233	-0.8476415509995955	0.2040961649389633	2.368729107534506	0.6035052459478618	0.4782047824497417	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.707134857109059	0.2807441055386013	-0.0	-0.0	0.0	0.0	0.6035052459478618	0.4782047824497417
3300000	-0.779483490697572	0.9833071224867279	1.827838621647584	0.10617282928082877	-1.5871839604516205	2.3331625572649335	0.5430285699613965	0.5552733203698688	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.779483490697572	0.9833071224867279	0.0	0.0	-0.0	0.0	0.5430285699613965	0.0
3350000	-0.6381721171441719	0.7821729475420705	-2.225325246463252	-1.7583529869132195	-0.03558992872933862	-0.541752781938637	0.6094886538787296	1.726579145314014	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6381721171441719	0.0	-0.0	-0.0	-0.0	-0.0	0.6094886538787296	0.0
3400000	-0.5714171673873796	3.4154886413239325	1.7688781124469353	0.9187603671118704	2.293756502106431	2.482591901119465	0.6682508734384542	0.42665622295779265	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5714171673873796	0.0	0.0	0.0	0.0	0.0	0.6682508734384542	0.42665622295779265
3450000	-0.5654409859279342	-3.19065526879694	-2.77723635331635	2.809644783475033	-3.0403780170583867	-3.461011950739312	0.6197090970040885	0.5174934283214971	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5654409859279342	-0.0	-0.0	0.0	-0.0	-0.0	0.6197090970040885	0.5174934283214971
3500000	-0.7155659263229462	0.900368928858002	-0.9727008845415698	-1.1054300828906554	-0.032325504439043896	-3.986124624715481	0.4125103534155614	-0.9719546626899424	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7155659263229462	0.900368928858002	-0.0	-0.0	-0.0	-0.0	0.4125103534155614	-0.0
3550000	-0.49398396742994255	0.6963217263247513	-1.8749808981083425	-0.43093961176723816	-2.289574407563123	1.2588251244040916	0.7158854604134586	0.5070386994683777	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.49398396742994255	0.0	-0.0	-0.0	-0.0	0.0	0.7158854604134586	0.5070386994683777
3600000	-0.5506743241342915	-0.015617718059223478	0.1609244248339574	2.3076137764720737	-0.7379860607890022	1.2345800100080502	0.5289358183626152	0.33578253588962215	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.5506743241342915	-0.0	0.1609244248339574	0.0	-0.0	0.0	0.5289358183626152	0.33578253588962215
3650000	-0.6252835665611443	0.3331755935481544	3.5022343611360967	-3.405161714606547	-0.17125893771763406	-2.6059654306537325	0.4153576569507047	0.21751524343438913	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6252835665611443	0.0	0.0	-0.0	-0.0	-0.0	0.4153576569507047	0.21751524343438913
3700000	-0.9867263787324324	0.06770553953256363	-0.6664532834515229	-1.680139299564716	0.27526139774366526	0.5713175278519146	1.2270960096014667	0.883574031897171	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	-0.9867263787324324	0.0	-0.0	-0.0	0.27526139774366526	0.0	1.2270960096014667	0.883574031897171
3750000	-0.5870541759148965	3.3264871421854427	-0.6001991087968108	2.749921039906394	-3.8976633115461357	1.8269969167104825	0.44422000758057695	0.4403103224584024	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.5870541759148965	0.0	-0.0	0.0	-0.0	0.0	0.44422000758057695	0.4403103224584024
3800000	-0.566890394289372	-0.5167136999904891	-2.13302341278109	0.4912898991166568	-1.4071198060358456	1.8850352524725562	0.467394860223724	-0.9011474067986437	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.566890394289372	-0.0	-0.0	0.0	-0.0	0.0	0.467394860223724	-0.0
